id,name,house,concentration,gender,family,top_notes,middle_notes,base_notes,year,description_ko,longevity_avg,projection_avg,rating_avg,accords,keywords_ko,season,occasion,intensity,warmth,sweetness,popularity,price_tier
1,Ege,Nishane,Extrait de Parfum,Unisex,Aquatic Woody,"Bergamot, Lemon, Grapefruit","Jasmine, Iris, Violet","Ambergris, Musk, Driftwood",2015,지중해 바다를 담은 상쾌하고 깨끗한 수분계 향수,8,7,4.2,"Aquatic, Woody, Musky, Fresh","신선한, 깔끔한, 차가운, 그린한","Spring, Summer","Casual, Office, Date",2,2,1,8,Luxury
2,Baccarat Rouge 540,Maison Francis Kurkdjian,EDP,Unisex,Floral Amber,"Saffron, Jasmine","Amberwood, Ambergris","Fir Resin, Cedar",2015,달콤하고 관능적인 앰버 플로럴. 독보적인 존재감,9,9,4.5,"Amber, Floral, Sweet, Woody","달콤한, 관능적인, 강렬한, 따뜻한","Fall, Winter","Date, Evening, Formal",5,4,4,10,Ultra
3,Santal 33,Le Labo,EDP,Unisex,Woody Spicy,"Violet, Cardamom","Iris, Ambrox","Sandalwood, Cedarwood, Leather",2011,스모키하고 크리미한 샌달우드. 뉴욕 감성의 시그니처,7,6,4.0,"Woody, Smoky, Spicy, Leather","스모키한, 크리미한, 우디한, 드라이한","Fall, Winter, Spring","Casual, Office, Date",3,3,2,10,Luxury
4,Pegasus,Parfums de Marly,EDP,Male,Aromatic Gourmand,"Bergamot, Lavender","Heliotrope, Jasmine","Sandalwood, Vanilla, Musk",2011,부드럽고 파우더리한 라벤더 바닐라 우디 향,8,7,4.3,"Powdery, Woody, Sweet, Floral","파우더리한, 달콤한, 크리미한, 따뜻한","Spring, Fall","Date, Formal, Evening",3,4,4,9,Luxury
5,Eau Givree,Tauer Perfumes,EDP,Unisex,Woody Chypre,"Bergamot, Pink Pepper","Rose, Jasmine","Oakmoss, Vetiver, Musk",2020,시원하고 얼음처럼 깨끗한 우디 시프레,8,6,4.1,"Woody, Chypre, Mossy, Floral","차가운, 깔끔한, 드라이한, 우디한","Spring, Summer, Fall","Casual, Office, Date",3,2,1,6,Luxury
6,Sycomore,Chanel,EDP,Unisex,Woody Smoky,"Pink Pepper, Juniper","Vetiver, Sandalwood","Oakmoss, Musk, Cedarwood",2008,스모키하고 건조한 베티버 우드. 샤넬 레 엑스클루시프의 명작,7,6,4.4,"Woody, Smoky, Earthy, Spicy","스모키한, 드라이한, 우디한, 강렬한","Fall, Winter","Casual, Office, Evening",3,2,1,8,Luxury
7,Coromandel,Chanel,EDP,Unisex,Oriental Woody,"Citrus, Pink Pepper","Patchouli, Jasmine","Benzoin, White Musk, Labdanum",2007,따뜻하고 우아한 파우더리 파츄리 오리엔탈,8,7,4.3,"Woody, Oriental, Powdery, Sweet","파우더리한, 따뜻한, 관능적인, 우디한","Fall, Winter","Evening, Date, Formal",4,4,3,8,Luxury
8,Le Lion,Chanel,EDP,Unisex,Woody Spicy,"Bergamot, Cardamom","Rose, Oud","Sandalwood, Amber, Musk",2019,강렬하고 왕족적인 우드 스파이시. 위엄 있는 존재감,8,8,4.2,"Woody, Spicy, Oud, Amber","강렬한, 스파이시한, 우디한, 이국적인","Fall, Winter","Evening, Date, Formal",4,4,2,7,Luxury
9,Bois Imperial,Ex Nihilo,EDP,Unisex,Woody Amber,"Bergamot, Ginger","Oud, Rose","Sandalwood, Musk, Vanilla",2016,크리미하고 달콤한 우드 앰버. 부드러운 오우드,8,7,4.2,"Woody, Amber, Sweet, Oud","크리미한, 달콤한, 우디한, 따뜻한","Fall, Winter","Date, Evening, Casual",3,4,3,8,Luxury
10,Imagination,Louis Vuitton,EDP,Male,Aromatic Aquatic,"Bergamot, Grapefruit","Petitgrain, Vetiver","Cedar, Musk",2019,깔끔하고 세련된 시트러스 우디. LV 특유의 고급스러움,7,6,4.1,"Citrus, Woody, Aquatic, Fresh","깔끔한, 신선한, 시트러시한, 가벼운","Spring, Summer","Casual, Office, Sport",2,2,1,7,Ultra
11,Hacivat,Nishane,Extrait de Parfum,Unisex,Woody Floral,"Grapefruit, Bergamot","Patchouli, Iris","Sandalwood, Musk, Ambergris",2017,파츄리와 우디 노트의 깊고 풍성한 조화,9,8,4.3,"Woody, Floral, Musky, Earthy","우디한, 그린한, 관능적인, 강렬한","Spring, Fall, Winter","Casual, Date, Evening",4,3,2,8,Luxury
12,Wulong Cha,Nishane,Extrait de Parfum,Unisex,Green Tea Woody,"Bergamot, Tea","Vetiver, Patchouli","Musk, Amber, Cedarwood",2018,우롱차의 은은하고 스모키한 차향,8,6,4.0,"Tea, Woody, Earthy, Smoky","스모키한, 그린한, 드라이한, 우디한","Spring, Fall","Casual, Office",3,2,1,7,Luxury
13,Encre Noire,Lalique,EDT,Male,Woody Earthy,Cypress,Vetiver,"Musk, Cashmere Wood",2006,극도로 건조하고 어두운 베티버. 미니멀리즘의 극치,7,5,4.1,"Woody, Earthy, Smoky, Vetiver","드라이한, 스모키한, 우디한, 강렬한","Fall, Winter","Casual, Office",3,2,1,8,Mid
14,Aventus,Creed,EDP,Male,Fruity Chypre,"Bergamot, Blackcurrant, Apple","Birch, Patchouli, Rose","Musk, Oakmoss, Ambergris",2010,파인애플과 자작나무의 신선하고 스모키한 조화. 시대의 아이콘,8,8,4.4,"Fruity, Smoky, Woody, Fresh","신선한, 스모키한, 강렬한, 시트러시한","Spring, Summer, Fall","Office, Date, Formal, Casual",4,3,2,10,Ultra
15,Silver Mountain Water,Creed,EDP,Male,Aromatic Aquatic,"Bergamot, Mandarin","Green Tea, Blackcurrant","Sandalwood, Musk, Cedarwood",1995,맑고 차가운 산속 물의 청량감,7,6,4.1,"Aquatic, Citrus, Woody, Tea","신선한, 차가운, 깔끔한, 시트러시한","Spring, Summer","Casual, Sport, Office",2,2,1,8,Ultra
16,Interlude Man,Amouage,EDP,Male,Aromatic Woody,"Bergamot, Oregano","Orris, Rose","Oud, Sandalwood, Patchouli",2012,복잡하고 깊은 스파이시 우디. 최고 수준의 완성도,9,8,4.5,"Woody, Spicy, Oud, Smoky","강렬한, 스파이시한, 우디한, 이국적인","Fall, Winter","Evening, Formal, Date",5,4,1,9,Ultra
17,Reflection Man,Amouage,EDP,Male,Aromatic Floral,"Rosemary, Bergamot","Jasmine, Lily","Sandalwood, Musk, Vetiver",2007,깨끗하고 플로럴한 고급스러운 남성향,8,7,4.2,"Floral, Woody, Fresh, Aromatic","깔끔한, 플로럴한, 신선한, 가벼운","Spring, Summer","Office, Casual, Date",3,3,2,7,Ultra
18,Tobacco Vanille,Tom Ford,EDP,Unisex,Oriental Gourmand,"Spices, Tobacco","Tobacco Blossom, Jasmine","Vanilla, Tonka Bean, Cocoa",2007,달콤하고 따뜻한 담배와 바닐라의 조화. 겨울 시그니처,9,8,4.4,"Sweet, Tobacco, Vanilla, Warm Spicy","달콤한, 따뜻한, 관능적인, 스파이시한","Fall, Winter","Evening, Date, Formal",5,5,5,10,Luxury
19,Oud Wood,Tom Ford,EDP,Unisex,Woody Oriental,"Oud, Rosewood","Cardamom, Sandalwood","Vetiver, Tonka Bean, Amber",2007,부드럽고 접근하기 쉬운 오우드 우드,8,7,4.2,"Oud, Woody, Spicy, Amber","우디한, 스파이시한, 따뜻한, 크리미한","Fall, Winter","Evening, Date, Formal",4,4,2,9,Luxury
20,Noir de Noir,Tom Ford,EDP,Unisex,Floral Oriental,"Truffle, Saffron","Rose, Oud","Patchouli, Sandalwood, Musk",2007,어둡고 섹시한 로즈 오우드 오리엔탈,9,8,4.3,"Floral, Oud, Earthy, Sweet","관능적인, 강렬한, 이국적인, 따뜻한","Fall, Winter","Evening, Date",5,4,3,8,Luxury
21,Gypsy Water,Byredo,EDP,Unisex,Woody Aromatic,"Bergamot, Lemon, Pepper","Juniper Berries, Orris","Sandalwood, Vanilla, Amber",2008,깨끗하고 약간 스파이시한 우디 바닐라,7,6,4.0,"Woody, Fresh, Spicy, Vanilla","깔끔한, 우디한, 스파이시한, 신선한","Spring, Fall","Casual, Date, Office",3,3,2,8,Luxury
22,Bal d'Afrique,Byredo,EDP,Unisex,Floral Woody,"Bergamot, African Marigold","Violet, Neroli","Musk, Woody Notes, Vetiver",2009,밝고 플로럴한 아프리칸 플로럴 우디,7,6,4.1,"Floral, Woody, Musky, Citrus","플로럴한, 신선한, 그린한, 가벼운","Spring, Summer","Casual, Date, Office",2,3,2,7,Luxury
23,Slow Dance,Byredo,EDP,Unisex,Woody Amber,"Davana, Violet","Sandalwood, Vetiver","Musk, Amber",2021,부드럽고 따뜻한 우디 앰버 스킨센트,7,5,4.0,"Woody, Amber, Musky, Soft","따뜻한, 크리미한, 우디한, 가벼운","Fall, Winter, Spring","Casual, Date",2,4,2,6,Luxury
24,Philosykos,Diptyque,EDT,Unisex,Green Woody,"Fig Leaf, Fig Tree Bark",Fig Wood,"White Cedar, Musk",1996,무화과 나무 전체를 담은 그린 우디. 디프티크 아이콘,7,5,4.2,"Green, Woody, Fresh, Fig","그린한, 신선한, 깔끔한, 가벼운","Spring, Summer","Casual, Office",2,2,1,8,Luxury
25,Tam Dao,Diptyque,EDT,Unisex,Woody Floral,"Sandalwood, Cypress","Rose, Musk","Cedarwood, White Musk",2003,크리미하고 깨끗한 샌달우드 플로럴,7,6,4.1,"Woody, Creamy, Floral, Musky","크리미한, 깔끔한, 우디한, 플로럴한","Spring, Fall","Casual, Office, Date",2,3,2,7,Luxury
26,Do Son,Diptyque,EDT,Female,Floral Aquatic,Sea Notes,"Tuberose, Orange Blossom","Musk, White Musks",2004,해변의 투베로즈. 깨끗하고 관능적인 플로럴,7,6,4.0,"Floral, Aquatic, Musky, White Floral","플로럴한, 신선한, 관능적인, 깔끔한","Spring, Summer","Casual, Date",2,3,2,6,Luxury
27,Layton,Parfums de Marly,EDP,Male,Aromatic Spicy,"Apple, Bergamom","Jasmine, Violet","Vanilla, Sandalwood, Pepper",2016,달콤하고 스파이시한 애플 우디. 대중적 인기 최고,9,8,4.4,"Sweet, Spicy, Woody, Fruity","달콤한, 스파이시한, 우디한, 따뜻한","Fall, Winter, Spring","Date, Evening, Casual, Formal",4,4,4,9,Luxury
28,Herod,Parfums de Marly,EDP,Male,Oriental Spicy,"Cinnamon, Pepper","Tobacco, Osmanthus","Vanilla, Sandalwood, Musk",2012,따뜻하고 스파이시한 담배 바닐라 오리엔탈,8,7,4.2,"Spicy, Tobacco, Sweet, Woody","스파이시한, 따뜻한, 달콤한, 강렬한","Fall, Winter","Evening, Date, Formal",4,5,3,8,Luxury
29,Greenley,Parfums de Marly,EDP,Male,Aromatic Fresh,"Bergamot, Verbena","Lavender, Basil","Vetiver, Musk, Oakmoss",2019,그린하고 허브향 나는 아로마틱 프레시,7,6,3.9,"Fresh, Aromatic, Green, Woody","신선한, 그린한, 허브향, 깔끔한","Spring, Summer","Casual, Sport, Office",2,2,1,6,Luxury
30,Castille,Parfums de Marly,EDP,Female,Floral Fruity,"Mandarin, Peach","Rose, Jasmine","Musk, Sandalwood, Amber",2019,달콤하고 우아한 피치 플로럴,7,6,4.0,"Floral, Fruity, Sweet, Powdery","달콤한, 플로럴한, 파우더리한, 따뜻한","Spring, Summer","Casual, Date, Office",3,3,4,6,Luxury
31,Another 13,Le Labo,EDP,Unisex,Woody Musky,"Ambrox, Moss","Jasmine, Ambrette Seeds","Musk, Ambergris, Oakmoss",2010,피부에 녹아드는 극도로 관능적인 앰브록시드 머스크. 뉴요커의 세컨드 스킨,8,6,4.4,"Musky, Woody, Mossy, Animalic","관능적인, 크리미한, 가벼운, 따뜻한","Spring, Fall, Winter","Casual, Date, Evening",2,3,1,9,Luxury
32,Thé Matcha 26,Le Labo,EDP,Unisex,Green Aromatic,"Bergamot, Bitter Orange","Matcha Tea, Fig, Vetiver","Cedarwood, Musk",2013,쌉싸름하고 그린한 말차의 정수. 어시 베티버와의 조화,7,5,4.0,"Tea, Green, Earthy, Woody","그린한, 드라이한, 신선한, 허브향","Spring, Summer, Fall","Casual, Office",2,2,1,6,Luxury
33,Thé Noir 29,Le Labo,EDP,Unisex,Woody Tea,"Bergamot, Fig, Black Tea","Bay Leaf, Tobacco, Jasmine, Vetiver","Sandalwood, Musk, Cedarwood",2006,깊고 스모키한 블랙티에 우디 담배향. 지적이고 세련된 유니섹스,7,6,4.1,"Tea, Woody, Tobacco, Smoky","스모키한, 드라이한, 우디한, 깔끔한","Fall, Winter, Spring","Office, Casual, Date",3,3,1,7,Luxury
34,Bergamote 22,Le Labo,EDP,Unisex,Citrus Woody,"Bergamot, Grapefruit","Vetiver, Musk","Ambergris, Cedarwood",2006,베르가못의 밝고 상쾌한 시트러스. 깔끔하고 미니멀한 일상향,6,6,3.9,"Citrus, Woody, Fresh, Musky","시트러시한, 신선한, 깔끔한, 가벼운","Spring, Summer","Casual, Office, Sport",2,2,1,7,Luxury
35,Rose 31,Le Labo,EDP,Unisex,Woody Rose,"Rose Centifolia, Cumin","Vetiver, Incense, Cedarwood","Musk, Cistus, Amber",2006,쿠민의 스파이시함과 로즈의 만남. 남성적으로 재해석한 장미,8,7,4.2,"Rose, Woody, Spicy, Smoky","스파이시한, 우디한, 드라이한, 강렬한","Fall, Spring","Date, Evening, Casual",3,3,2,8,Luxury
36,Lavande 31,Le Labo,EDP,Unisex,Aromatic Woody,"Lavender, Bergamot","Vetiver, Cistus","Musk, Cedarwood, Oakmoss",2024,클래식한 라벤더를 현대적으로 재해석. 우디 베티버가 받쳐주는 아로마틱,7,6,4.0,"Aromatic, Woody, Earthy, Fresh","허브향, 우디한, 드라이한, 깔끔한","Spring, Summer, Fall","Casual, Office",2,2,1,5,Luxury
37,Baie 19,Le Labo,EDP,Unisex,Spicy Woody,"Bay Leaf, Bergamot","Cypress, Orris","Musk, Cedarwood, Vetiver",2006,월계수 잎의 허브향과 우디 드라이다운. 클린하고 강인한 인상,7,6,4.0,"Spicy, Woody, Aromatic, Green","허브향, 우디한, 드라이한, 깔끔한","Spring, Fall","Casual, Office",2,2,1,6,Luxury
38,Lys 41,Le Labo,EDP,Unisex,Floral White,"Lily, Bergamot","Jasmine, Ylang Ylang","Musk, Sandalwood, Cedarwood",2012,백합의 순수하고 그린한 화이트 플로럴. 투명하고 시원한 존재감,7,6,3.9,"White Floral, Woody, Fresh, Musky","플로럴한, 신선한, 깔끔한, 가벼운","Spring, Summer","Casual, Date, Office",2,3,2,5,Luxury
39,Eucalyptus 20,Le Labo,EDP,Unisex,Aromatic Fresh,"Eucalyptus, Bergamot","Spearmint, Lavender","Musk, Cedarwood, Vetiver",2023,유칼립투스의 싱그럽고 쿨한 허브 아로마틱. 깨끗하고 활기찬 인상,6,6,3.9,"Aromatic, Fresh, Green, Woody","신선한, 차가운, 허브향, 깔끔한","Spring, Summer","Sport, Casual, Office",2,1,1,5,Luxury
40,Tonka 25,Le Labo,EDP,Unisex,Oriental Gourmand,"Bergamot, Cardamom","Tonka Bean, Heliotrope","Vanilla, Musk, Sandalwood",2006,통카빈의 따뜻하고 달콤한 구르망 오리엔탈. 파우더리하고 관능적,8,7,4.1,"Sweet, Powdery, Vanilla, Warm Spicy","달콤한, 파우더리한, 따뜻한, 관능적인","Fall, Winter","Date, Evening",3,4,5,6,Luxury
41,Jasmin 17,Le Labo,EDP,Unisex,Floral Woody,"Jasmine, Bergamot","Jasmine Sambac, Ylang Ylang","Musk, Sandalwood, Vetiver",2023,재스민을 중심으로 한 투명하고 감각적인 플로럴. 과하지 않은 우아함,7,6,4.0,"Floral, Woody, Musky, White Floral","플로럴한, 신선한, 가벼운, 깔끔한","Spring, Summer","Casual, Date, Office",2,3,2,5,Luxury
42,Fleur d'Oranger 27,Le Labo,EDP,Unisex,Floral Citrus,"Orange Blossom, Neroli","Orris, Jasmine","Musk, Cedarwood, Sandalwood",2006,오렌지 블로썸의 밝고 그린한 화이트 플로럴. 봄날 과수원의 싱그러움,7,6,4.1,"Floral, Citrus, White Floral, Woody","플로럴한, 신선한, 그린한, 시트러시한","Spring, Summer","Casual, Date, Office",2,3,2,7,Luxury
43,Neroli 36,Le Labo,EDP,Unisex,Citrus Floral,"Neroli, Bergamot, Petitgrain","Orange Blossom, Jasmine","Musk, Cedarwood, Ambergris",2006,네롤리의 비터한 시트러스와 화이트 플로럴. 지중해 햇살처럼 밝고 따뜻,6,6,4.0,"Citrus, Floral, Fresh, Musky","시트러시한, 플로럴한, 신선한, 가벼운","Spring, Summer","Casual, Office, Sport",2,3,2,6,Luxury
44,Patchouli 24,Le Labo,EDP,Unisex,Woody Smoky,"Birch Tar, Bergamot","Patchouli, Vetiver","Musk, Vanilla, Cedarwood",2006,버치 타르와 파츄리의 강렬하고 스모키한 어둠. 밤의 캠프파이어,9,8,4.3,"Smoky, Woody, Earthy, Sweet","스모키한, 강렬한, 우디한, 이국적인","Fall, Winter","Evening, Date, Casual",4,3,2,8,Luxury
45,Vetiver 46,Le Labo,EDP,Unisex,Woody Earthy,"Lemon, Pink Pepper","Vetiver, Orris","Musk, Cedarwood, Sandalwood",2006,베티버의 어시하고 건조한 우디 어스. 극도로 정갈하고 미니멀한 베티버,8,6,4.2,"Woody, Earthy, Vetiver, Smoky","드라이한, 우디한, 깔끔한, 스모키한","Fall, Spring","Office, Casual",3,2,1,7,Luxury
46,Ylang 49,Le Labo,EDP,Unisex,Floral Woody,"Ylang Ylang, Bergamot","Jasmine, Geranium","Musk, Sandalwood, Vetiver",2006,일랑일랑의 크리미하고 달콤한 이국적 플로럴. 열대 특유의 관능미,8,7,4.0,"Floral, Tropical, Woody, Creamy","이국적인, 크리미한, 플로럴한, 관능적인","Summer, Spring","Date, Evening, Casual",3,4,3,5,Luxury
47,Labdanum 18,Le Labo,EDP,Unisex,Oriental Resinous,"Bergamot, Citrus","Labdanum, Cistus","Musk, Ambergris, Vanilla",2006,라브다눔의 깊고 따뜻한 수지향. 오래된 교회와 앰버의 신비로운 조화,8,6,4.0,"Resinous, Amber, Woody, Sweet","따뜻한, 이국적인, 우디한, 드라이한","Fall, Winter","Evening, Date, Casual",3,4,2,5,Luxury
48,Ambrette 9,Le Labo,EDP,Unisex,Musky Citrus,"Bergamot, Citrus, Lychee","Ambrette Seeds, Rose","Musk, Iris",2006,앰브레트 씨앗의 자연적인 머스크. 가볍고 투명하며 피부에 밀착되는 스킨센트,6,5,3.9,"Musky, Citrus, Floral, Soft","가벼운, 깔끔한, 신선한, 관능적인","Spring, Summer, Fall","Casual, Office",1,3,1,6,Luxury
49,Violette 30,Le Labo,EDP,Unisex,Floral Woody,"Violet Leaves, Cardamom","Orris, Ambrox, Cedarwood","Musk, Sandalwood, Cypriol",2024,화이트 바이올렛의 그린하고 파우더리한 플로럴. 모순적 아름다움의 탐구,7,6,4.1,"Floral, Powdery, Woody, Green","파우더리한, 그린한, 플로럴한, 깔끔한","Spring, Summer","Casual, Date, Office",2,3,2,5,Luxury
50,Iris 39,Le Labo,EDP,Unisex,Floral Woody,"Bergamot, Grapefruit","Iris, Violet, Orris","Patchouli, Cedarwood, Musk",2015,아이리스의 파우더리하고 우아한 크리미함. 귀족적이고 고요한 플로럴 우디,7,6,4.1,"Floral, Powdery, Woody, Earthy","파우더리한, 크리미한, 우디한, 플로럴한","Spring, Fall","Office, Formal, Date",3,3,2,6,Luxury
51,Oud 27,Le Labo,EDP,Unisex,Woody Oriental,"Bergamot, Saffron","Oud, Rose, Geranium","Sandalwood, Musk, Amber",2015,오우드의 깊고 복잡한 수지 우디. 로즈와 사프란으로 완성된 럭셔리 오리엔탈,9,7,4.2,"Oud, Woody, Spicy, Rose","이국적인, 강렬한, 우디한, 스파이시한","Fall, Winter","Evening, Formal, Date",4,4,2,7,Luxury
52,Gaiac 10,Le Labo,EDP,Unisex,Woody Resinous,"Olibanum, Incense","Gaiac Wood, Cedarwood","Musk, Amber, Sandalwood",2006,가이악우드와 유향의 드라이하고 수지질 우디. 도쿄 시티 익스클루시브,8,6,4.1,"Woody, Resinous, Smoky, Incense","드라이한, 우디한, 스모키한, 이국적인","Fall, Winter","Evening, Casual, Date",3,3,1,6,Ultra
53,Vanille 44,Le Labo,EDP,Unisex,Oriental Vanilla,"Vanilla, Rum","Tonka Bean, Tobacco","Sandalwood, Musk, Cedarwood",2006,스파이시하고 우디한 바닐라. 지나치게 달지 않은 어른의 바닐라 오리엔탈. 파리 익스클루시브,9,7,4.4,"Vanilla, Woody, Tobacco, Sweet","달콤한, 따뜻한, 우디한, 크리미한","Fall, Winter","Evening, Date, Formal",4,5,4,8,Ultra
54,Cedrat 37,Le Labo,EDP,Unisex,Citrus Woody,"Cedrat, Bergamot, Ginger","Vetiver, Cypress","Musk, Cedarwood, Ambergris",2022,세드라의 비터 시트러스. 베를린의 진보와 전통. 베를린 익스클루시브,7,6,4.0,"Citrus, Woody, Fresh, Spicy","시트러시한, 신선한, 드라이한, 깔끔한","Spring, Summer, Fall","Casual, Office",2,2,1,5,Ultra
55,Tabac 28,Le Labo,EDP,Unisex,Oriental Tobacco,"Tobacco, Bergamot","Vanilla, Tonka Bean","Musk, Sandalwood, Amber",2006,담배의 따뜻하고 달콤한 관능미. 부드럽고 크리미한 바닐라. 모스크바 익스클루시브,9,7,4.3,"Tobacco, Sweet, Woody, Vanilla","달콤한, 따뜻한, 관능적인, 크리미한","Fall, Winter","Evening, Date",4,5,4,7,Ultra
56,Mousse de Chêne 30,Le Labo,EDP,Unisex,Chypre Woody,"Bergamot, Citrus","Oakmoss, Vetiver","Musk, Cedarwood, Patchouli",2006,오크모스의 어시하고 그린한 클래식 시프레. 런던 익스클루시브,8,6,4.2,"Mossy, Woody, Earthy, Chypre","드라이한, 그린한, 우디한, 스모키한","Fall, Spring","Office, Casual",3,2,1,6,Ultra
57,Musc 25,Le Labo,EDP,Unisex,Musky Citrus,"Bergamot, Neroli, Aldehydes","Musk, Iris","Sandalwood, Ambergris, Cedarwood",2006,알데히드와 머스크의 루미너스한 스킨센트. 로스앤젤레스 익스클루시브,7,5,3.9,"Musky, Citrus, Powdery, Clean","깔끔한, 가벼운, 신선한, 파우더리한","Spring, Summer, Fall","Casual, Office",1,3,1,6,Ultra
58,Tubéreuse 40,Le Labo,EDP,Unisex,Floral White,"Aldehydes, Bergamot","Tuberose, Jasmine","Musk, Cedarwood, Sandalwood",2006,투베로즈의 강렬하고 크리미한 화이트 플로럴. 뉴욕 익스클루시브,8,7,3.8,"White Floral, Creamy, Powdery, Sweet","플로럴한, 크리미한, 강렬한, 관능적인","Spring, Summer","Date, Evening",4,3,3,6,Ultra
59,Bigarade 18,Le Labo,EDP,Unisex,Citrus Aromatic,"Bitter Orange, Bergamot, Petitgrain","Neroli, Vetiver","Musk, Cedarwood, Sandalwood",2006,비가라드의 비터오렌지와 페티그레인. 싱가포르 익스클루시브,6,6,4.0,"Citrus, Aromatic, Woody, Fresh","시트러시한, 신선한, 드라이한, 깔끔한","Spring, Summer","Casual, Office, Sport",2,2,1,5,Ultra
60,Citron 28,Le Labo,EDP,Unisex,Citrus Woody,"Lemon, Bergamot, Neroli","Vetiver, Musk","Cedarwood, Ambergris, Sandalwood",2006,레몬의 밝고 상쾌한 시트러스. 홍콩 익스클루시브,6,6,3.9,"Citrus, Woody, Fresh, Musky","시트러시한, 신선한, 깔끔한, 가벼운","Spring, Summer","Casual, Sport, Office",2,2,1,5,Ultra
61,Myrrhe 55,Le Labo,EDP,Unisex,Oriental Resinous,"Bergamot, Incense","Myrrh, Labdanum","Musk, Sandalwood, Amber",2006,몰약의 깊고 복잡한 수지향. 두바이 익스클루시브,9,7,4.3,"Resinous, Incense, Woody, Amber","이국적인, 강렬한, 따뜻한, 스모키한","Fall, Winter","Evening, Formal, Date",4,4,2,6,Ultra
62,Benjoin 19,Le Labo,EDP,Unisex,Oriental Balsamic,"Bergamot, Cardamom","Benzoin, Vanilla","Musk, Sandalwood, Tonka Bean",2006,벤조인의 발사믹하고 달콤한 따뜻함. 마이애미 익스클루시브,8,6,4.0,"Balsamic, Sweet, Woody, Resinous","달콤한, 따뜻한, 크리미한, 이국적인","Fall, Winter","Evening, Date, Casual",3,4,3,5,Ultra
63,Cuir 28,Le Labo,EDP,Unisex,Leather Woody,"Bergamot, Pink Pepper","Leather, Jasmine","Musk, Cedarwood, Sandalwood",2006,가죽의 날카롭고 스모키한 무게감. 서울 익스클루시브,8,7,4.1,"Leather, Woody, Smoky, Spicy","강렬한, 스모키한, 우디한, 드라이한","Fall, Winter","Evening, Date, Formal",4,3,1,5,Ultra
64,Aldéhyde 44,Le Labo,EDP,Unisex,Floral Aldehyde,"Aldehydes, Bergamot","Rose, Jasmine, Iris","Musk, Sandalwood, Cedarwood",2006,알데히드의 빛나고 클래식한 플로럴. 암스테르담 익스클루시브,7,7,4.0,"Floral, Powdery, Aldehydic, Woody","파우더리한, 플로럴한, 깔끔한, 따뜻한","Spring, Fall","Formal, Office, Date",3,3,2,5,Ultra
65,Coriandre 39,Le Labo,EDP,Unisex,Green Aromatic,"Coriander, Aldehydes, Bergamot","Vetiver, Iris","Musk, Cedarwood, Sandalwood",2019,고수의 그린하고 허브향. 멕시코시티 익스클루시브,7,6,3.8,"Green, Aromatic, Woody, Citrus","그린한, 허브향, 드라이한, 깔끔한","Spring, Summer","Casual, Office",2,2,1,4,Ultra
66,Baie Rose 26,Le Labo,EDP,Unisex,Spicy Rose,"Pink Pepper, Clove","Rose Absolute, Cedar, Aldehydes","Musk, Sandalwood",2006,핑크 페퍼의 재즈처럼 경쾌한 로즈 스파이시. 시카고 익스클루시브,8,7,4.2,"Spicy, Rose, Woody, Powdery","스파이시한, 플로럴한, 우디한, 강렬한","Spring, Fall","Date, Evening, Casual",3,3,2,6,Ultra
67,Poivre 23,Le Labo,EDP,Unisex,Spicy Woody,"Black Pepper, Pink Pepper","Vetiver, Sandalwood","Vanilla, Musk, Cedarwood",2006,페퍼의 날카롭고 피리한 스파이시. 24시간 지속되는 롱래스팅. 상파울루 익스클루시브,10,8,4.5,"Spicy, Woody, Pepper, Earthy","스파이시한, 강렬한, 드라이한, 우디한","Fall, Winter","Evening, Date, Formal",5,3,2,7,Ultra
68,Osmanthus 19,Le Labo,EDP,Unisex,Floral Woody,"Incense, Lavender","Osmanthus, Jasmine","Musk, Cedarwood, Sandalwood",2006,금목서의 크리미하고 업리프팅한 플로럴. 교토의 전통과 현대. 교토 익스클루시브,7,6,4.1,"Floral, Woody, Aromatic, Creamy","플로럴한, 크리미한, 따뜻한, 이국적인","Spring, Fall","Date, Casual, Evening",3,3,2,6,Ultra
69,Limette 37,Le Labo,EDP,Unisex,Citrus Woody,"Lime, Bergamot, Grapefruit","Vetiver, Basil","Musk, Cedarwood, Ambergris",2019,라임의 청량하고 쥬시한 시트러스. 케이프타운 익스클루시브,6,6,3.9,"Citrus, Woody, Fresh, Aromatic","시트러시한, 신선한, 깔끔한, 그린한","Spring, Summer","Casual, Sport, Office",2,2,1,5,Ultra
